type,bank,distance,amount,min,medium,time,label
PERSON,FIRST BANK,12,18000,89130,MOBILE,2023-07-17T07:22:05Z,Clean
MERCHANT,UBA,19,40000,1730,WEB,2023-07-17T08:04:21Z,Clean
PERSON,FINTECH BANKS,11,709000,65090,MOBILE,2023-07-17T08:08:23Z,Clean
PERSON,FIRST BANK,11,41000,5520,MOBILE,2023-07-17T08:10:20Z,Clean
PERSON,OTHER_TIER1_BANKS,6,1278000,40,IN-BRANCH,2023-07-17T08:13:20Z,Clean
PERSON,FIRST BANK,20,18000,12820,MOBILE,2023-07-17T08:18:14Z,Clean
PERSON,STERLING BANK,8,14000,930,MOBILE,2023-07-17T08:23:12Z,Clean
PERSON,UBA,5,38000,8620,MOBILE,2023-07-17T09:00:07Z,Clean
PERSON,FIRST BANK,10,54000,3980,MOBILE,2023-07-17T09:01:10Z,Clean
MERCHANT,FINTECH BANKS,6,1304000,12300,WEB,2023-07-17T09:05:14Z,Clean
PERSON,GTB,7,211000,920,MOBILE,2023-07-17T09:19:07Z,Clean
PERSON,GTB,3,53000,48010,MOBILE,2023-07-17T10:00:01Z,Clean
PERSON,ACCESS BANK,11,30000,4420,MOBILE,2023-07-17T10:00:03Z,Clean
PERSON,GTB,4,6000,83230,MOBILE,2023-07-17T10:00:14Z,Clean
PERSON,OTHER_TIER1_BANKS,22,50000,61420,PHONE,2023-07-17T10:01:11Z,Clean
MERCHANT,OTHER_TIER1_BANKS,9,76000,960,MOBILE,2023-07-17T10:01:18Z,Clean
MERCHANT,GTB,8,57000,10,MOBILE,2023-07-17T10:02:23Z,Clean
PERSON,ACCESS BANK,15,47000,46010,MOBILE,2023-07-17T10:10:18Z,Clean
PERSON,FIRST BANK,7,833000,1050,MOBILE,2023-07-17T10:11:07Z,Clean
PERSON,FIRST BANK,11,7000,1070,MOBILE,2023-07-17T10:14:05Z,Clean
PERSON,GTB,10,3000,89700,MOBILE,2023-07-17T10:18:21Z,Clean
PERSON,GTB,12,3000,13760,MOBILE,2023-07-17T10:20:08Z,Clean
PERSON,FIDELITY BANK,2,31000,8370,MOBILE,2023-07-17T11:00:00Z,Clean
PERSON,FIRST BANK,7,77000,82660,WEB,2023-07-17T11:00:14Z,Clean
PERSON,GTB,5,8000,9500,MOBILE,2023-07-17T11:02:16Z,Clean
PERSON,GTB,4,44000,620,MOBILE,2023-07-17T11:04:03Z,Clean
PERSON,ACCESS BANK,41,210000,80150,MOBILE,2023-07-17T11:04:14Z,Clean
PERSON,GTB,23,136000,14080,MOBILE,2023-07-17T11:06:06Z,Clean
PERSON,EXAMPLE BANK,10,338000,30570,WEB,2023-07-17T11:18:06Z,Clean
PERSON,FIRST BANK,50,41000,12710,MOBILE,2023-07-17T11:19:13Z,Clean
PERSON,FIDELITY BANK,1,36000,13130,MOBILE,2023-07-17T12:04:01Z,Clean
PERSON,FINTECH BANKS,19,180000,1030,MOBILE,2023-07-17T12:06:07Z,Clean
PERSON,FINTECH BANKS,40,3000,12470,MOBILE,2023-07-17T12:10:19Z,Clean
PERSON,UBA,13,62000,1010,MOBILE,2023-07-17T12:12:04Z,Clean
MERCHANT,ACCESS BANK,28,240000,50,WEB,2023-07-17T12:14:03Z,Clean
MERCHANT,UBA,9,7000,13530,MOBILE,2023-07-17T12:22:12Z,Clean
BUSINESS,ACCESS BANK,13,7000,24450,MOBILE,2023-07-17T12:23:11Z,Clean
PERSON,EXAMPLE BANK,17,15000,860,MOBILE,2023-07-17T13:01:17Z,Clean
PERSON,UBA,39,88000,11280,MOBILE,2023-07-17T13:03:21Z,Clean
PERSON,ECOBANK,6,13000,78240,MOBILE,2023-07-17T13:11:21Z,Clean
PERSON,FIRST BANK,12,832000,77630,MOBILE,2023-07-17T13:15:23Z,Clean
PERSON,FIRST BANK,23,9000,12590,MOBILE,2023-07-17T13:21:13Z,Clean
PERSON,ACCESS BANK,2,61000,22340,MOBILE,2023-07-17T14:02:18Z,Clean
PERSON,FIRST BANK,5,2000,920,MOBILE,2023-07-17T14:04:15Z,Clean
PERSON,GTB,14,159000,65150,MOBILE,2023-07-17T14:07:21Z,Clean
PERSON,ECOBANK,17,266000,86510,MOBILE,2023-07-17T14:13:21Z,Clean
PERSON,STERLING BANK,6,8000,12330,MOBILE,2023-07-17T14:19:05Z,Clean
PERSON,FIRST BANK,20,4000,14230,MOBILE,2023-07-17T15:02:19Z,Clean
PERSON,FINTECH BANKS,8,13000,12990,MOBILE,2023-07-17T15:07:22Z,Clean
PERSON,FIDELITY BANK,50,195000,43120,MOBILE,2023-07-17T15:10:09Z,Clean
PERSON,FIRST BANK,46,3000,79030,MOBILE,2023-07-17T15:11:22Z,Clean
PERSON,FIRST BANK,15,9000,14970,MOBILE,2023-07-17T15:22:23Z,Clean
PERSON,STERLING BANK,33,242000,7970,WEB,2023-07-17T16:00:06Z,Clean
PERSON,GTB,6,8000,14610,MOBILE,2023-07-17T16:00:16Z,Clean
PERSON,UBA,11,12000,12430,WEB,2023-07-17T16:02:01Z,Clean
PERSON,UNION BANK,15,208000,49130,MOBILE,2023-07-17T16:02:15Z,Clean
PERSON,FIRST BANK,12,190000,41490,MOBILE,2023-07-17T16:06:11Z,Clean
PERSON,FIRST BANK,7,157000,10100,MOBILE,2023-07-17T16:12:14Z,Clean
PERSON,FIRST BANK,7,235000,49170,MOBILE,2023-07-17T16:12:18Z,Clean
PERSON,GTB,23,77000,11780,MOBILE,2023-07-17T16:13:19Z,Clean
PERSON,ACCESS BANK,5,9000,1200,MOBILE,2023-07-17T16:14:12Z,Clean
BUSINESS,FINTECH BANKS,10,10000,7680,WEB,2023-07-17T16:15:17Z,Clean
PERSON,FIDELITY BANK,4,234000,69530,MOBILE,2023-07-17T16:16:07Z,Clean
PERSON,FIRST BANK,8,174000,8880,MOBILE,2023-07-17T16:17:22Z,Clean
PERSON,FIDELITY BANK,8,9000,10750,MOBILE,2023-07-17T16:20:18Z,Clean
PERSON,ACCESS BANK,13,7000,88180,MOBILE,2023-07-17T16:21:05Z,Clean
PERSON,FIRST BANK,25,5000,9600,MOBILE,2023-07-17T16:21:08Z,Clean
PERSON,FINTECH BANKS,9,69000,49360,MOBILE,2023-07-17T16:23:15Z,Clean
PERSON,FINTECH BANKS,5,80000,46020,MOBILE,2023-07-17T17:01:06Z,Clean
BUSINESS,ACCESS BANK,10,17000,350,MOBILE,2023-07-17T17:02:01Z,Clean
BUSINESS,ECOBANK,6,192000,33820,WEB,2023-07-17T17:06:18Z,Clean
PERSON,FIRST BANK,4,6000,730,MOBILE,2023-07-17T17:08:18Z,Clean
PERSON,FINTECH BANKS,6,1908000,62050,MOBILE,2023-07-17T17:17:03Z,Clean
PERSON,FIRST BANK,26,33000,8310,MOBILE,2023-07-17T17:17:09Z,Clean
PERSON,FIRST BANK,14,51000,47410,MOBILE,2023-07-17T17:21:22Z,Clean
PERSON,FINTECH BANKS,5,121000,8880,MOBILE,2023-07-17T17:23:12Z,Clean
PERSON,FIRST BANK,5,1524000,27540,MOBILE,2023-07-17T17:23:16Z,Clean
PERSON,UBA,17,20000,50160,MOBILE,2023-07-17T18:15:23Z,Clean
PERSON,FIRST BANK,16,1000,36960,WEB,2023-07-17T18:16:19Z,Clean
PERSON,STERLING BANK,6,9000,58030,MOBILE,2023-07-17T18:18:20Z,Clean
PERSON,FINTECH BANKS,27,13000,88700,WEB,2023-07-17T18:21:09Z,Clean
PERSON,ACCESS BANK,3,19000,10,MOBILE,2023-07-17T18:22:04Z,Clean
PERSON,FINTECH BANKS,10,80000,68000,IN-BRANCH,2023-07-17T19:01:06Z,Clean
PERSON,OTHER_TIER1_BANKS,19,7000,840,MOBILE,2023-07-17T19:01:22Z,Clean
BUSINESS,FINTECH BANKS,9,415000,9,MOBILE,2023-07-17T19:05:03Z,Clean
PERSON,FINTECH BANKS,2,19000,38840,MOBILE,2023-07-17T19:11:01Z,Clean
PERSON,FIRST BANK,4,454000,14880,MOBILE,2023-07-17T19:13:19Z,Clean
PERSON,UBA,16,2000,7660,WEB,2023-07-17T19:13:20Z,Clean
PERSON,OTHER_TIER1_BANKS,20,58000,12490,MOBILE,2023-07-17T19:15:15Z,Clean
PERSON,UBA,9,30000,490,MOBILE,2023-07-17T19:22:03Z,Clean
BUSINESS,UBA,24,14000,74030,MOBILE,2023-07-17T19:22:04Z,Clean
PERSON,ACCESS BANK,16,36000,5480,MOBILE,2023-07-17T20:01:23Z,Clean
PERSON,FIRST BANK,11,5000,54690,MOBILE,2023-07-17T20:02:14Z,Clean
BUSINESS,UBA,12,252000,52330,MOBILE,2023-07-17T20:10:12Z,Clean
PERSON,ACCESS BANK,3,31000,62240,MOBILE,2023-07-17T20:19:04Z,Clean
MERCHANT,GTB,6,1904000,33700,MOBILE,2023-07-17T21:02:12Z,Clean
PERSON,FIRST BANK,32,2000,9280,MOBILE,2023-07-17T21:05:04Z,Clean
PERSON,UNION BANK,14,200000,9660,MOBILE,2023-07-17T21:05:08Z,Clean
PERSON,ECOBANK,10,37000,56690,WEB,2023-07-17T21:07:08Z,Clean
MERCHANT,FIDELITY BANK,2,217000,13040,MOBILE,2023-07-17T21:07:19Z,Clean
PERSON,STERLING BANK,37,18000,10240,MOBILE,2023-07-17T21:09:15Z,Clean
PERSON,FIDELITY BANK,4,63000,13160,IN-BRANCH,2023-07-17T21:10:00Z,Clean
PERSON,ACCESS BANK,10,11000,82380,MOBILE,2023-07-17T21:12:08Z,Clean
MERCHANT,ECOBANK,1,278000,86300,MOBILE,2023-07-17T22:00:11Z,Clean
PERSON,UBA,28,7000,12140,MOBILE,2023-07-17T22:01:22Z,Clean
PERSON,FIDELITY BANK,21,1398000,11680,MOBILE,2023-07-17T22:15:06Z,Clean
PERSON,FIRST BANK,15,5000,78280,MOBILE,2023-07-17T22:16:21Z,Clean
BUSINESS,EXAMPLE BANK,10,9000,8830,MOBILE,2023-07-17T22:18:22Z,Clean
PERSON,ACCESS BANK,11,19000,79110,MOBILE,2023-07-17T22:19:05Z,Clean
PERSON,GTB,20,202000,22400,MOBILE,2023-07-17T22:20:04Z,Clean
PERSON,FINTECH BANKS,6,3000,3060,MOBILE,2023-07-17T22:23:14Z,Clean
PERSON,FINTECH BANKS,5,76000,49300,WEB,2023-07-17T23:04:20Z,Clean
PERSON,ACCESS BANK,25,57000,6990,MOBILE,2023-07-17T23:06:04Z,Clean
PERSON,FIRST BANK,7,45000,4940,MOBILE,2023-07-17T23:11:14Z,Clean
PERSON,STERLING BANK,10,5000,12100,MOBILE,2023-07-17T23:12:10Z,Clean
PERSON,ACCESS BANK,16,824000,64980,WEB,2023-07-17T23:17:08Z,Clean
PERSON,FIRST BANK,8,14000,10100,MOBILE,2023-07-17T23:20:00Z,Clean
PERSON,GTB,11,1287000,13830,MOBILE,2023-07-17T23:22:15Z,Clean
PERSON,FIRST BANK,12,11000,450,WEB,2023-07-17T23:22:17Z,Clean
PERSON,ACCESS BANK,16,52000,13260,MOBILE,2023-07-18T00:05:20Z,Clean
PERSON,FIRST BANK,10,66000,43690,MOBILE,2023-07-18T00:10:18Z,Clean
PERSON,ECOBANK,3,247000,9430,MOBILE,2023-07-18T00:11:18Z,Clean
PERSON,FINTECH BANKS,21,37000,6,MOBILE,2023-07-18T00:14:04Z,Clean
PERSON,GTB,4,14000,13770,MOBILE,2023-07-18T00:14:14Z,Clean
PERSON,FIRST BANK,7,93000,13840,MOBILE,2023-07-18T00:18:22Z,Clean
PERSON,UBA,18,51000,64630,MOBILE,2023-07-18T00:19:20Z,Clean
PERSON,UBA,9,52000,9860,MOBILE,2023-07-18T00:20:12Z,Clean
PERSON,FINTECH BANKS,27,1086000,56580,MOBILE,2023-07-18T00:22:23Z,Clean
PERSON,UNION BANK,15,1546000,14740,MOBILE,2023-07-18T01:06:17Z,Clean
PERSON,ACCESS BANK,5,31000,32780,MOBILE,2023-07-18T01:07:13Z,Clean
PERSON,FIRST BANK,17,42000,21100,MOBILE,2023-07-18T01:08:15Z,Clean
PERSON,ACCESS BANK,10,57000,82550,MOBILE,2023-07-18T01:09:06Z,Clean
PERSON,FIRST BANK,13,773000,71770,MOBILE,2023-07-18T01:12:10Z,Clean
PERSON,FINTECH BANKS,5,14000,46130,MOBILE,2023-07-18T01:12:23Z,Clean
PERSON,GTB,12,93000,60440,MOBILE,2023-07-18T01:17:09Z,Clean
PERSON,FINTECH BANKS,6,13000,14170,MOBILE,2023-07-18T02:02:04Z,Clean
BUSINESS,FINTECH BANKS,1,78000,10590,MOBILE,2023-07-18T02:02:22Z,Clean
PERSON,UBA,3,70000,67920,MOBILE,2023-07-18T02:04:16Z,Clean
PERSON,ACCESS BANK,14,83000,9500,WEB,2023-07-18T02:08:11Z,Clean
PERSON,STERLING BANK,33,9000,7110,MOBILE,2023-07-18T02:08:13Z,Clean
PERSON,ECOBANK,5,218000,31220,MOBILE,2023-07-18T02:15:10Z,Clean
PERSON,GTB,16,81000,66370,MOBILE,2023-07-18T02:16:14Z,Clean
PERSON,OTHER_TIER1_BANKS,5,5000,14760,WEB,2023-07-18T02:17:05Z,Clean
PERSON,GTB,14,2000,13090,WEB,2023-07-18T02:17:23Z,Clean
PERSON,GTB,3,111000,56700,MOBILE,2023-07-18T02:18:10Z,Clean
PERSON,STERLING BANK,12,30000,56730,WEB,2023-07-18T02:20:05Z,Clean
PERSON,FIRST BANK,8,59000,81990,MOBILE,2023-07-18T02:22:03Z,Clean
PERSON,FINTECH BANKS,19,11000,11620,MOBILE,2023-07-18T02:22:21Z,Clean
PERSON,ACCESS BANK,4,3000,13320,MOBILE,2023-07-18T02:23:07Z,Clean
PERSON,UBA,15,33000,64490,MOBILE,2023-07-18T03:01:17Z,Clean
PERSON,GTB,13,211000,13500,MOBILE,2023-07-18T03:01:22Z,Clean
PERSON,FINTECH BANKS,31,53000,7430,MOBILE,2023-07-18T03:02:03Z,Clean
PERSON,FINTECH BANKS,12,18000,14970,MOBILE,2023-07-18T03:03:03Z,Clean
PERSON,FINTECH BANKS,33,72000,8670,MOBILE,2023-07-18T03:03:06Z,Clean
PERSON,ACCESS BANK,3,37000,13190,WEB,2023-07-18T03:03:08Z,Clean
PERSON,FINTECH BANKS,8,37000,82900,MOBILE,2023-07-18T03:18:10Z,Clean
PERSON,UBA,5,245000,10890,MOBILE,2023-07-18T03:19:19Z,Clean
MERCHANT,FIRST BANK,4,48000,42060,MOBILE,2023-07-18T03:21:15Z,Clean
PERSON,FIRST BANK,6,8000,8830,MOBILE,2023-07-18T03:22:17Z,Clean
BUSINESS,GTB,11,517000,73300,MOBILE,2023-07-18T04:02:00Z,Clean
PERSON,GTB,8,1000,45750,MOBILE,2023-07-18T04:15:19Z,Clean
PERSON,ACCESS BANK,27,5000,20,MOBILE,2023-07-18T04:22:08Z,Clean
PERSON,FIRST BANK,6,257000,44720,MOBILE,2023-07-18T05:01:02Z,Clean
BUSINESS,FIDELITY BANK,8,187000,690,MOBILE,2023-07-18T05:01:09Z,Clean
PERSON,FINTECH BANKS,14,772000,63430,MOBILE,2023-07-18T05:02:02Z,Clean
PERSON,ACCESS BANK,29,3000,7150,WEB,2023-07-18T05:07:02Z,Clean
MERCHANT,FINTECH BANKS,22,13000,77060,WEB,2023-07-18T05:08:09Z,Clean
PERSON,FIRST BANK,14,43000,66850,MOBILE,2023-07-18T05:11:02Z,Clean
PERSON,FIRST BANK,10,1740000,29990,MOBILE,2023-07-18T05:13:20Z,Clean
PERSON,FINTECH BANKS,21,1000,56640,WEB,2023-07-18T05:15:01Z,Clean
PERSON,ACCESS BANK,3,41000,9470,WEB,2023-07-18T05:15:16Z,Clean
PERSON,ACCESS BANK,16,273000,49110,WEB,2023-07-18T05:20:03Z,Clean
MERCHANT,ACCESS BANK,10,46000,63570,MOBILE,2023-07-18T05:22:02Z,Clean
PERSON,ACCESS BANK,33,19000,10920,MOBILE,2023-07-18T05:23:05Z,Clean
PERSON,ACCESS BANK,12,103000,26770,WEB,2023-07-18T06:03:23Z,Clean
MERCHANT,GTB,10,32000,62280,WEB,2023-07-18T06:04:19Z,Clean
MERCHANT,FINTECH BANKS,4,41000,940,MOBILE,2023-07-18T06:08:07Z,Clean
PERSON,ACCESS BANK,13,519000,990,MOBILE,2023-07-18T06:09:21Z,Clean
PERSON,GTB,1,15000,38090,MOBILE,2023-07-18T06:13:20Z,Clean
PERSON,FINTECH BANKS,17,386000,10230,MOBILE,2023-07-18T06:14:13Z,Clean
BUSINESS,GTB,9,1000,11760,MOBILE,2023-07-18T06:16:19Z,Clean
MERCHANT,FIRST BANK,45,1608000,570,MOBILE,2023-07-18T06:18:00Z,Clean
PERSON,ACCESS BANK,5,61000,840,MOBILE,2023-07-18T06:23:13Z,Clean
PERSON,ACCESS BANK,11,108000,14910,MOBILE,2023-07-18T07:02:06Z,Clean
PERSON,EXAMPLE BANK,11,4000,26880,MOBILE,2023-07-18T07:02:17Z,Clean
PERSON,GTB,5,2000,56900,IN-BRANCH,2023-07-18T07:04:00Z,Clean
PERSON,GTB,27,93000,9460,MOBILE,2023-07-18T07:08:18Z,Clean
PERSON,FIRST BANK,15,66000,14580,MOBILE,2023-07-18T07:15:22Z,Clean
PERSON,STERLING BANK,10,13000,86490,WEB,2023-07-18T07:23:10Z,Clean
PERSON,FIRST BANK,1,11000,2230,MOBILE,2023-07-18T08:03:18Z,Clean
PERSON,FIRST BANK,6,56000,29920,WEB,2023-07-18T08:07:01Z,Clean
PERSON,FIRST BANK,18,11000,2770,MOBILE,2023-07-18T08:09:22Z,Clean
MERCHANT,FINTECH BANKS,11,5000,34710,PHONE,2023-07-18T08:15:19Z,Clean
PERSON,ACCESS BANK,0,38000,3900,MOBILE,2023-07-18T08:19:19Z,Clean
PERSON,FIRST BANK,7,39000,10430,WEB,2023-07-18T08:20:17Z,Clean
PERSON,GTB,12,1834000,5190,MOBILE,2023-07-18T09:04:21Z,Clean
PERSON,OTHER_TIER1_BANKS,12,176000,2710,MOBILE,2023-07-18T09:06:19Z,Clean
PERSON,ACCESS BANK,9,10000,14590,MOBILE,2023-07-18T09:07:08Z,Clean
PERSON,OTHER_TIER1_BANKS,28,252000,980,MOBILE,2023-07-18T09:13:01Z,Clean
PERSON,FINTECH BANKS,6,1000,70680,MOBILE,2023-07-18T10:04:19Z,Clean
PERSON,ACCESS BANK,1,1209000,61810,MOBILE,2023-07-18T10:08:16Z,Clean
PERSON,FIDELITY BANK,9,52000,79320,MOBILE,2023-07-18T10:10:11Z,Clean
PERSON,OTHER_TIER1_BANKS,11,47000,14320,MOBILE,2023-07-18T10:12:09Z,Clean
BUSINESS,GTB,6,7000,6580,MOBILE,2023-07-18T10:18:06Z,Clean
PERSON,OTHER_TIER1_BANKS,23,8000,1120,MOBILE,2023-07-18T10:21:02Z,Clean
PERSON,GTB,27,249000,9720,WEB,2023-07-18T10:21:22Z,Clean
PERSON,FINTECH BANKS,2,79000,12340,WEB,2023-07-18T11:01:07Z,Clean
PERSON,GTB,21,5000,84790,MOBILE,2023-07-18T11:01:10Z,Clean
PERSON,ECOBANK,7,7000,62270,MOBILE,2023-07-18T11:01:23Z,Clean
PERSON,GTB,10,13000,1700,MOBILE,2023-07-18T11:02:03Z,Clean
PERSON,FIRST BANK,5,208000,560,MOBILE,2023-07-18T11:02:18Z,Clean
PERSON,EXAMPLE BANK,12,13000,48340,WEB,2023-07-18T11:04:08Z,Clean
PERSON,FINTECH BANKS,30,1935000,61320,MOBILE,2023-07-18T11:08:11Z,Clean
PERSON,FIDELITY BANK,9,204000,58430,MOBILE,2023-07-18T11:16:10Z,Clean
PERSON,STERLING BANK,15,5000,23040,MOBILE,2023-07-18T11:17:03Z,Clean
PERSON,FIRST BANK,15,34000,33300,MOBILE,2023-07-18T11:19:13Z,Clean
MERCHANT,GTB,9,3000,86650,WEB,2023-07-18T11:22:05Z,Clean
PERSON,GTB,15,199000,8830,MOBILE,2023-07-18T12:01:08Z,Clean
PERSON,GTB,27,4000,22360,WEB,2023-07-18T12:03:17Z,Clean
PERSON,GTB,19,292000,15000,MOBILE,2023-07-18T12:04:11Z,Clean
PERSON,FIRST BANK,10,37000,2020,WEB,2023-07-18T12:09:18Z,Clean
PERSON,FIDELITY BANK,5,200000,1070,MOBILE,2023-07-18T12:09:20Z,Clean
PERSON,OTHER_TIER1_BANKS,20,69000,9740,MOBILE,2023-07-18T12:11:22Z,Clean
PERSON,FINTECH BANKS,22,276000,11730,WEB,2023-07-18T12:15:03Z,Clean
PERSON,FINTECH BANKS,11,44000,68940,WEB,2023-07-18T12:17:08Z,Clean
PERSON,ACCESS BANK,5,1706000,640,MOBILE,2023-07-18T12:21:14Z,Clean
PERSON,ACCESS BANK,13,30000,10900,MOBILE,2023-07-18T12:22:17Z,Clean
PERSON,ACCESS BANK,9,235000,1170,MOBILE,2023-07-18T13:00:03Z,Clean
PERSON,FIRST BANK,21,71000,21180,MOBILE,2023-07-18T13:05:15Z,Clean
PERSON,ACCESS BANK,22,82000,14140,WEB,2023-07-18T13:06:21Z,Clean
PERSON,FINTECH BANKS,0,17000,22820,MOBILE,2023-07-18T13:15:04Z,Clean
PERSON,OTHER_TIER1_BANKS,2,49000,37390,MOBILE,2023-07-18T13:17:18Z,Clean
PERSON,ACCESS BANK,6,33000,79640,MOBILE,2023-07-18T13:23:13Z,Clean
PERSON,FIRST BANK,4,150000,54420,WEB,2023-07-18T14:02:20Z,Clean
PERSON,FIRST BANK,8,144000,68320,MOBILE,2023-07-18T14:03:22Z,Clean
PERSON,OTHER_TIER1_BANKS,17,34000,67540,MOBILE,2023-07-18T14:07:14Z,Clean
PERSON,ACCESS BANK,9,52000,37550,MOBILE,2023-07-18T14:09:15Z,Clean
PERSON,ACCESS BANK,0,125000,81280,MOBILE,2023-07-18T14:12:12Z,Clean
PERSON,EXAMPLE BANK,0,39000,29460,MOBILE,2023-07-18T14:14:14Z,Clean
PERSON,FIRST BANK,21,131000,9010,MOBILE,2023-07-18T14:14:19Z,Clean
PERSON,GTB,4,3000,940,PHONE,2023-07-18T14:16:17Z,Clean
PERSON,GTB,15,16000,40720,WEB,2023-07-18T14:17:09Z,Clean
PERSON,FINTECH BANKS,17,204000,6030,MOBILE,2023-07-18T14:18:17Z,Clean
PERSON,FINTECH BANKS,3,15000,44590,MOBILE,2023-07-18T14:19:16Z,Clean
MERCHANT,UBA,5,1403000,69690,MOBILE,2023-07-18T14:21:07Z,Clean
PERSON,OTHER_TIER1_BANKS,9,20000,430,MOBILE,2023-07-18T15:01:14Z,Clean
PERSON,ACCESS BANK,8,10000,3010,MOBILE,2023-07-18T15:06:00Z,Clean
PERSON,UBA,9,50000,62890,MOBILE,2023-07-18T15:06:22Z,Clean
PERSON,ACCESS BANK,49,34000,14420,MOBILE,2023-07-18T15:11:03Z,Clean
PERSON,FIDELITY BANK,6,1335000,1110,MOBILE,2023-07-18T15:11:16Z,Clean
PERSON,FIRST BANK,30,69000,450,MOBILE,2023-07-18T15:19:20Z,Clean
PERSON,GTB,7,36000,60600,MOBILE,2023-07-18T16:15:04Z,Clean
PERSON,ACCESS BANK,2,1460000,9290,MOBILE,2023-07-18T16:18:22Z,Clean
PERSON,ACCESS BANK,11,15000,42820,MOBILE,2023-07-18T16:19:04Z,Clean
PERSON,FIRST BANK,1,5000,12120,WEB,2023-07-18T16:19:08Z,Clean
PERSON,FINTECH BANKS,0,4000,10580,MOBILE,2023-07-18T16:20:14Z,Clean
PERSON,FIRST BANK,11,175000,61190,MOBILE,2023-07-18T16:21:08Z,Clean
PERSON,UBA,4,50000,56580,MOBILE,2023-07-18T17:00:10Z,Clean
PERSON,EXAMPLE BANK,26,9000,1680,WEB,2023-07-18T17:03:17Z,Clean
PERSON,ACCESS BANK,22,40000,87860,MOBILE,2023-07-18T17:03:23Z,Clean
MERCHANT,UBA,18,207000,1140,MOBILE,2023-07-18T17:05:14Z,Clean
PERSON,GTB,7,1130000,6720,MOBILE,2023-07-18T17:11:12Z,Clean
PERSON,FIDELITY BANK,6,77000,8890,IN-BRANCH,2023-07-18T17:21:03Z,Clean
MERCHANT,GTB,6,6000,8010,MOBILE,2023-07-18T18:11:20Z,Clean
PERSON,FIRST BANK,0,10000,61360,MOBILE,2023-07-18T18:15:14Z,Clean
MERCHANT,GTB,11,38000,320,MOBILE,2023-07-18T18:15:16Z,Clean
PERSON,FINTECH BANKS,32,18000,49810,MOBILE,2023-07-18T18:16:00Z,Clean
PERSON,ACCESS BANK,8,18000,14430,WEB,2023-07-18T19:00:01Z,Clean
PERSON,FIRST BANK,4,17000,37850,WEB,2023-07-18T19:02:15Z,Clean
PERSON,FINTECH BANKS,14,240000,14650,MOBILE,2023-07-18T19:03:17Z,Clean
PERSON,FINTECH BANKS,15,36000,12890,MOBILE,2023-07-18T19:05:06Z,Clean
PERSON,UBA,5,11000,68950,MOBILE,2023-07-18T19:08:16Z,Clean
PERSON,OTHER_TIER1_BANKS,9,296000,12140,MOBILE,2023-07-18T19:10:02Z,Clean
PERSON,ACCESS BANK,27,249000,360,MOBILE,2023-07-18T19:12:04Z,Clean
PERSON,FIRST BANK,11,176000,41370,MOBILE,2023-07-18T19:13:01Z,Clean
BUSINESS,FINTECH BANKS,10,1574000,11710,MOBILE,2023-07-18T19:17:21Z,Clean
PERSON,FINTECH BANKS,3,35000,8090,MOBILE,2023-07-18T19:19:17Z,Clean
PERSON,GTB,11,11000,43500,MOBILE,2023-07-18T20:01:07Z,Clean
MERCHANT,FIRST BANK,15,1000,8270,MOBILE,2023-07-18T20:07:19Z,Clean
PERSON,FINTECH BANKS,11,4000,77510,MOBILE,2023-07-18T20:09:15Z,Clean
PERSON,ACCESS BANK,2,288000,12190,MOBILE,2023-07-18T20:09:19Z,Clean
PERSON,GTB,4,19000,42780,MOBILE,2023-07-18T20:15:13Z,Clean
PERSON,FIRST BANK,30,288000,12390,WEB,2023-07-18T20:17:16Z,Clean
PERSON,FINTECH BANKS,14,1025000,1040,MOBILE,2023-07-18T21:04:18Z,Clean
BUSINESS,STERLING BANK,10,4000,76100,PHONE,2023-07-18T21:05:01Z,Clean
PERSON,FINTECH BANKS,9,13000,690,MOBILE,2023-07-18T21:06:12Z,Clean
PERSON,ECOBANK,0,275000,900,MOBILE,2023-07-18T21:08:08Z,Clean
PERSON,STERLING BANK,5,216000,56940,MOBILE,2023-07-18T21:10:19Z,Clean
PERSON,ACCESS BANK,16,45000,74470,WEB,2023-07-18T21:10:21Z,Clean
PERSON,FIRST BANK,35,57000,380,MOBILE,2023-07-18T21:11:04Z,Clean
PERSON,FIRST BANK,5,64000,12160,MOBILE,2023-07-18T21:17:03Z,Clean
MERCHANT,ECOBANK,22,5000,60030,MOBILE,2023-07-18T21:20:10Z,Clean
MERCHANT,UNION BANK,10,5000,20,MOBILE,2023-07-18T21:20:14Z,Clean
PERSON,FINTECH BANKS,27,42000,77420,WEB,2023-07-18T21:23:05Z,Clean
PERSON,FINTECH BANKS,23,15000,14260,MOBILE,2023-07-18T22:01:12Z,Clean
PERSON,UBA,8,218000,10230,MOBILE,2023-07-18T22:05:05Z,Clean
PERSON,UBA,11,60000,39840,MOBILE,2023-07-18T22:06:03Z,Clean
PERSON,FIRST BANK,6,73000,89450,MOBILE,2023-07-18T22:06:23Z,Clean
PERSON,FIRST BANK,8,35000,510,WEB,2023-07-18T22:13:14Z,Clean
PERSON,FINTECH BANKS,3,18000,13880,MOBILE,2023-07-18T22:16:01Z,Clean
PERSON,GTB,16,1000,86220,MOBILE,2023-07-18T22:16:14Z,Clean
PERSON,GTB,3,283000,2020,MOBILE,2023-07-18T23:02:05Z,Clean
PERSON,UBA,8,1278000,74550,WEB,2023-07-18T23:02:06Z,Clean
PERSON,FIDELITY BANK,18,8000,12990,MOBILE,2023-07-18T23:02:19Z,Clean
